"","partID_given","partID","dyadID","gender_baseline","Progress","Duration","RecordedDate","DistributionChannel","day","gender","gender_6_TEXT","gate1","gate2","gate3","gate4","gate5","gate6","beds","vaccum","food","dishes","garbage","yardwork","pets","laundry","errands","cars","finances","events","calls","other_chores","fair_chores","satisfied_chores","homeschool","attention","worrying","activities","clothes","sick","getting_up","put_to_bed","discipline","reading","playing","picking_up","hygiene","dressing","comforting","feeding","other_childcare","fair_childcare","satisfied_childcare","wfibs1","wfibs2","wfibs3","covid_pres1","covid_pres2","covid_pres3","covid_pres4","covid_pres5","covid_pres6","qmi1","qmi2","qmi3","qmi4","comm1","comm2","comm3","comm4","comments","ResponseID","RecordedDate_lag","dist","first_sec","prob","rec_num","weekish","day_of_study","week","problems","ID_check"
"1","","R_1QAbWeDxIaGB0nm",377033,"",100,842,2020-09-28 20:30:00,"email","Monday","Woman",NA,"Somewhat disagree","Somewhat agree","Somewhat disagree","","","","No","No","Yes","Yes","No","No","Yes","No","No","No","No","No","No","no","Fair to both you and your partner","Somewhat satisfied","","","","","","","","","","","","","","","","","","","","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Somewhat true about me","Somewhat true about me","A little true about me","Somewhat true about me","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","no",3,NA,NA,1,0,1,1,1,1,0,0
"2","","R_1QAbWeDxIaGB0nm",377033,"Woman",100,214,2020-09-29 21:57:00,"email","Tuesday","Woman",NA,"Somewhat agree","Somewhat disagree","Neither agree nor disagree","","","","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","no","Pretty much fair to me","Somewhat satisfied","","","","","","","","","","","","","","","","","","","","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Somewhat true about me","Somewhat true about me","A little true about me","Somewhat true about me","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","no",11,NA,NA,1,0,2,1,2,1,0,0
"3","","R_1QAbWeDxIaGB0nm",377033,"Woman",100,706,2020-09-30 21:48:00,"email","Wednesday","Woman",NA,"Strongly agree","Somewhat disagree","Somewhat agree","","","","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","no","Slightly unfair to you","Somewhat dissatisfied","","","","","","","","","","","","","","","","","","","","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Somewhat true about me","Somewhat true about me","Somewhat true about me","Somewhat true about me","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","no",13,NA,NA,1,0,3,1,3,1,0,0
"4","","R_1QAbWeDxIaGB0nm",377033,"Woman",100,571,2020-10-01 18:48:00,"email","Thursday","Woman",NA,"Neither agree nor disagree","Strongly disagree","Somewhat disagree","","","","No","No","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","grocery shopped  online","Fair to both you and your partner","Somewhat satisfied","","","","","","","","","","","","","","","","","","","","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat true about me","Somewhat true about me","A little true about me","Somewhat true about me","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","no",9,NA,NA,1,0,4,1,4,1,0,0
"5","","R_1QAbWeDxIaGB0nm",377033,"Woman",100,414,2020-10-02 20:59:00,"email","Friday","Woman",NA,"Neither agree nor disagree","Somewhat disagree","Somewhat disagree","","","","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","Yes","online household shopping","Slightly unfair to you","Neither satisfied nor dissatisfied","","","","","","","","","","","","","","","","","","","","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat true about me","Somewhat true about me","A little true about me","Somewhat true about me","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","no",1,NA,NA,1,0,5,1,5,1,0,0
"6","","R_1QAbWeDxIaGB0nm",377033,"Woman",100,260,2020-10-03 19:08:00,"email","Saturday","Woman",NA,"Somewhat agree","Somewhat agree","Strongly agree","","","","No","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","no","Very unfair to you","Very dissatisfied","","","","","","","","","","","","","","","","","","","","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat agree","A little true about me","Somewhat true about me","A little true about me","Not true about me","Strongly disagree","Somewhat agree","Somewhat agree","Strongly disagree","no",5,NA,NA,1,0,6,1,6,1,0,0
"7","","R_1QAbWeDxIaGB0nm",377033,"Woman",100,526,2020-10-04 19:04:00,"email","Sunday","Woman",NA,"Somewhat agree","Somewhat agree","Somewhat agree","","","","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","I failed to mention that I occasionally help an elderly parent who lives next door. I spent about an hour today and 4-5  hours over the past week helping them","Slightly unfair to you","Somewhat dissatisfied","","","","","","","","","","","","","","","","","","","","Neither agree nor disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat agree","A little true about me","Somewhat true about me","A little true about me","A little true about me","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly disagree","no",7,NA,NA,1,0,7,1,7,1,0,0
"8","","R_1QAbWeDxIaGB0nm",377033,"Woman",100,695,2020-10-05 20:28:00,"email","Monday","Woman",NA,"Neither agree nor disagree","Strongly disagree","Somewhat disagree","","","","No","No","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","no","Fair to both you and your partner","Somewhat satisfied","","","","","","","","","","","","","","","","","","","","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat true about me","Somewhat true about me","A little true about me","A little true about me","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","no",4,2020-09-28 20:30:00,6.99861111111111,2,0,8,2,8,2,0,0
"9","","R_1QAbWeDxIaGB0nm",377033,"Woman",100,444,2020-10-06 19:23:00,"email","Tuesday","Woman",NA,"Somewhat agree","Somewhat disagree","Neither agree nor disagree","","","","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","no","Fair to both you and your partner","Neither satisfied nor dissatisfied","","","","","","","","","","","","","","","","","","","","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly agree","Somewhat agree","A little true about me","A little true about me","A little true about me","Somewhat true about me","Somewhat disagree","Somewhat disagree","Strongly agree","Strongly disagree","no",12,2020-09-29 21:57:00,6.89305555555556,2,0,9,2,9,2,0,0
"10","","R_1QAbWeDxIaGB0nm",377033,"Woman",100,835,2020-10-07 19:59:00,"email","Wednesday","Woman",NA,"Somewhat agree","Neither agree nor disagree","Somewhat agree","","","","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","no","Fair to both you and your partner","Somewhat satisfied","","","","","","","","","","","","","","","","","","","","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Somewhat true about me","Somewhat true about me","A little true about me","Somewhat true about me","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","no",14,2020-09-30 21:48:00,6.92430555555556,2,0,10,2,10,2,0,0
