"","dyadID","r_years","childnum","obsid","day_A","day_of_study_A","day_of_study_P","day_P","fair_chores_A","fair_chores_P","gender_chr_A","gender_chr_P","genderE_A","genderE_P","grbs_ss_A","grbs_ss_P","income_A","income_P","partID_A","partID_P","partnum_A","partnum_P","qmi_ss_A","qmi_ss_P","telework_A","telework_P"
"1",377033,31.213698630137,0,5278449,"Monday","1","1","Monday","3","3","W","M","1","-1","3.36842105263158","3.10526315789474","50000","50000","R_1QAbWeDxIaGB0nm","R_3ELr3P738kowP2k","1","2","2.75","2.75","1","0"
"2",377033,31.213698630137,0,5278449,"Monday","1","1","Monday","3","3","M","W","-1","1","3.10526315789474","3.36842105263158","50000","50000","R_3ELr3P738kowP2k","R_1QAbWeDxIaGB0nm","2","1","2.75","2.75","0","1"
"3",377033,31.213698630137,0,5278450,"Tuesday","2","2","Tuesday","4","4","W","M","1","-1","3.36842105263158","3.10526315789474","50000","50000","R_1QAbWeDxIaGB0nm","R_3ELr3P738kowP2k","1","2","2.75","2.75","1","0"
"4",377033,31.213698630137,0,5278450,"Tuesday","2","2","Tuesday","4","4","M","W","-1","1","3.10526315789474","3.36842105263158","50000","50000","R_3ELr3P738kowP2k","R_1QAbWeDxIaGB0nm","2","1","2.75","2.75","0","1"
"5",377033,31.213698630137,0,5278451,"Wednesday","3","3","Wednesday","2","3","W","M","1","-1","3.36842105263158","3.10526315789474","50000","50000","R_1QAbWeDxIaGB0nm","R_3ELr3P738kowP2k","1","2","3","3","1","0"
"6",377033,31.213698630137,0,5278451,"Wednesday","3","3","Wednesday","3","2","M","W","-1","1","3.10526315789474","3.36842105263158","50000","50000","R_3ELr3P738kowP2k","R_1QAbWeDxIaGB0nm","2","1","3","3","0","1"
"7",377033,31.213698630137,0,5278452,"Thursday","4","4","Thursday","3","3","W","M","1","-1","3.36842105263158","3.10526315789474","50000","50000","R_1QAbWeDxIaGB0nm","R_3ELr3P738kowP2k","1","2","2.75","2.75","1","0"
"8",377033,31.213698630137,0,5278452,"Thursday","4","4","Thursday","3","3","M","W","-1","1","3.10526315789474","3.36842105263158","50000","50000","R_3ELr3P738kowP2k","R_1QAbWeDxIaGB0nm","2","1","2.75","2.75","0","1"
"9",377033,31.213698630137,0,5278453,"Friday","5","5","Friday","2","3","W","M","1","-1","3.36842105263158","3.10526315789474","50000","50000","R_1QAbWeDxIaGB0nm","R_3ELr3P738kowP2k","1","2","2.75","2.75","1","0"
"10",377033,31.213698630137,0,5278453,"Friday","5","5","Friday","3","2","M","W","-1","1","3.10526315789474","3.36842105263158","50000","50000","R_3ELr3P738kowP2k","R_1QAbWeDxIaGB0nm","2","1","2.75","2.75","0","1"
"11",377033,31.213698630137,0,5278454,"Saturday","6","6","Saturday","1","4","W","M","1","-1","3.36842105263158","3.10526315789474","50000","50000","R_1QAbWeDxIaGB0nm","R_3ELr3P738kowP2k","1","2","2","2","1","0"
"12",377033,31.213698630137,0,5278454,"Saturday","6","6","Saturday","4","1","M","W","-1","1","3.10526315789474","3.36842105263158","50000","50000","R_3ELr3P738kowP2k","R_1QAbWeDxIaGB0nm","2","1","2","2","0","1"
"13",377033,31.213698630137,0,5278455,"Sunday","7","7","Sunday","2","4","W","M","1","-1","3.36842105263158","3.10526315789474","50000","50000","R_1QAbWeDxIaGB0nm","R_3ELr3P738kowP2k","1","2","2.25","2.25","1","0"
"14",377033,31.213698630137,0,5278455,"Sunday","7","7","Sunday","4","2","M","W","-1","1","3.10526315789474","3.36842105263158","50000","50000","R_3ELr3P738kowP2k","R_1QAbWeDxIaGB0nm","2","1","2.25","2.25","0","1"
"15",377033,31.213698630137,0,5278456,"Monday","8","8","Monday","3","3","W","M","1","-1","3.36842105263158","3.10526315789474","50000","50000","R_1QAbWeDxIaGB0nm","R_3ELr3P738kowP2k","1","2","2.5","2.5","1","0"
"16",377033,31.213698630137,0,5278456,"Monday","8","8","Monday","3","3","M","W","-1","1","3.10526315789474","3.36842105263158","50000","50000","R_3ELr3P738kowP2k","R_1QAbWeDxIaGB0nm","2","1","2.5","2.5","0","1"
"17",377033,31.213698630137,0,5278457,"Tuesday","9","9","Tuesday","3","3","W","M","1","-1","3.36842105263158","3.10526315789474","50000","50000","R_1QAbWeDxIaGB0nm","R_3ELr3P738kowP2k","1","2","2.25","2.75","1","0"
"18",377033,31.213698630137,0,5278457,"Tuesday","9","9","Tuesday","3","3","M","W","-1","1","3.10526315789474","3.36842105263158","50000","50000","R_3ELr3P738kowP2k","R_1QAbWeDxIaGB0nm","2","1","2.75","2.25","0","1"
"19",377033,31.213698630137,0,5278458,"Wednesday","10","10","Wednesday","3","3","W","M","1","-1","3.36842105263158","3.10526315789474","50000","50000","R_1QAbWeDxIaGB0nm","R_3ELr3P738kowP2k","1","2","2.75","2.5","1","0"
